"PID","lebe_cont","cand_rightwing","cand_change_R","cand_exp","cand_change","cand_econ","cand_cult","mob","soccon","lonely","selfplacement","mob_1R","mob_2","mob_3R","mob_4","mob_5","mob_6","mob_7R","mob_8R","soccon_1","soccon_2","soccon_3","soccon_4R","soccon_5","lonely_1","lonely_2","lonely_3","lebecool_self","lebecool_white","lebecool_black","lebecool_asian","lebecool_latino","ideo","party_gen","party_dem","party_rep","party_ind","party_followup","att_1","att_2","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","feedback"
"KR226ln",36,3.5,3,3,5,3,4,4.125,4.2,7,5,5,3,5,4,3,5,5,3,5,5,5,3,3,2,2,3,30,80,70,95,68,4,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,1,31,"woman","White","GED","$80,001-$100,000",5,2,1,0,0,0,1,NA
"LQ439qw",70,4.5,4,5,4,2,7,3.25,4.8,3,4,4,3,4,2,4,4,3,2,6,4,6,3,5,1,1,1,30,0,40,50,45,7,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,1,61,"woman","Black or African American","GED","$0-$20,000",1,2,0,0,0,0,1,NA
"XE313ot",55,1.5,4,2,4,2,1,3.25,4.6,4,2,4,3,4,3,3,3,3,3,5,5,5,3,5,1,2,1,70,95,65,67,61,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,48,"woman","multiracial","GED","$80,001-$100,000",5,2,0,0,0,0,1,NA
"BK854ip",41,2.5,6,4,2,2,3,5.375,2.8,4,4,5,4,7,7,4,5,5,6,4,3,2,2,3,1,2,1,71,81,75,74,44,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,47,"woman","White","4yearColl","Over $200,000",11,4,1,0,0,0,1,"Everything displayed correctly"
"JF549ih",10,4,4,5,4,4,4,4.625,2.6,3,2,4,5,5,4,4,5,5,5,3,2,3,2,3,1,1,1,60,70,50,50,50,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,23,"woman","White","4yearColl","$80,001-$100,000",5,4,1,0,0,0,1,NA
"ZU759nq",70,3.5,4,3,4,4,3,4.5,3.4,6,5,5,5,4,5,4,4,5,4,3,4,3,3,4,2,2,2,71,95,92,87,90,3,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,33,NA,"Asian","MA",NA,NA,5,0,NA,0,0,1,NA
"TK808mu",15,4,3,3,5,5,3,4.625,2,3,1,5,5,5,5,5,3,4,5,2,2,2,2,2,1,1,1,80,75,60,78,66,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,63,"woman","White","PHD","$180,001-$200,000",10,6,1,0,0,0,1,NA
"CR019pd",30,2,4,5,4,3,1,4.375,4.6,5,4.5,5,3,5,5,4,4,4,5,5,5,5,3,5,1,2,2,60,75,65,70,60,3,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,31,"woman","White","GED","$20,001-$40,000",2,2,1,0,0,0,1,NA
"HN062sz",68,3.5,3,3,5,3,4,5.125,4.8,5,5,5,5,6,6,5,4,5,5,5,5,5,3,6,1,2,2,5,56,44,59,29,4,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,1,34,"woman","White","2yearColl","$60,001-$80,000",4,3,1,0,0,0,1,"Just because I think whites are better off, doesn't mean that I think it's right. I remind my husband sometimes when he complains of DEI, that if they'd taken the most qualified candidate then he wouldn't have his job, and a lot of the president's cabinet wouldn't either."
"SX776qj",18,3.5,3,3,5,3,4,5,3.8,6,2,3,6,5,5,5,5,5,6,2,5,3,3,6,2,2,2,61,70,57,37,51,5,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,38,"man","White","MA","$80,001-$100,000",5,5,1,1,0,0,1,"none"
"SB948vh",49,4,4,4,4,6,2,4.75,4.2,5,3,5,6,4,5,4,6,4,4,5,4,4,4,4,2,1,2,36,75,23,39,20,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,26,"woman","Black or African American","GED","$40,001-$60,000",3,2,0,0,0,0,1,NA
"NG700yi",5,5.5,4,3,4,6,5,6.5,1,3,1,6,6,7,6,6,7,7,7,1,1,1,1,1,1,1,1,97,73,61,80,53,5,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,1,62,"man","White","MA","Over $200,000",11,5,1,1,1,0,0,NA
