"id","n_reasons","mrl","assigned_cluster","avg_cosine_to_assigned","second_best_cluster","second_best_avg_cosine","margin"
"IW128sz",7,0.63555249676374,1,0.470014263540388,9,0.422879631079318,0.0471346324610703
"IW155dx",2,0.79126963198643,2,0.490946400765471,4,0.460753878660663,0.0301925221048074
"IW455ya",2,0.783871300243722,3,0.555655298358466,5,0.517659802412276,0.0379954959461899
"IY459uk",4,0.718265907518108,8,0.532238903533151,7,0.516052861126138,0.0161860424070124
"JC920sd",10,0.57554053828571,5,0.416813544655853,4,0.406208612665727,0.0106049319901263
"JD089ot",4,0.734164283344731,7,0.620177616205922,6,0.488946359946455,0.131231256259467
"JF171gy",3,0.677077760835039,9,0.480944919689343,7,0.432633049252616,0.048311870436727
"JF207gd",3,0.715060842346682,1,0.488650384831169,4,0.452601690406822,0.0360486944243471
"JF344ub",2,0.807762687405722,4,0.530077718340866,8,0.474951525316558,0.0551261930243083
"JH512hv",3,0.7255332746654,1,0.486856092509288,5,0.436140817573348,0.0507152749359405
"JM046ls",1,1,1,0.424491972250945,3,0.372199202779551,0.0522927694713939
"JM515sx",3,0.727303741816595,4,0.591153600010137,8,0.448299414726202,0.142854185283935
"JN822jx",6,0.639063423204209,7,0.542261275598799,4,0.463024646437758,0.0792366291610406
"JR524ii",7,0.630331870721431,9,0.496191696574272,7,0.487045969095701,0.00914572747857123
"JV266fd",5,0.687848820719677,6,0.533839113584675,9,0.52045539022634,0.0133837233583344
"KB542qb",8,0.639222444723837,6,0.525918939219068,4,0.494250963153269,0.0316679760657988
"KC770vj",3,0.743530099191739,6,0.521578040022256,9,0.460479775117355,0.0610982649049011
"KC864lx",2,0.839214708219925,1,0.594967940232741,2,0.471054116233236,0.123913823999505
"KD013fo",7,0.636957113697213,4,0.497653136860265,8,0.488062218909821,0.00959091795044414
"KG931wh",1,1,1,0.424491972250945,3,0.372199202779551,0.0522927694713939
"KI255uh",5,0.620890658480502,4,0.498654183684592,8,0.434113823243156,0.0645403604414357
"KK724gt",5,0.669510041594689,9,0.497938025799272,4,0.490890562307938,0.00704746349133412
"KN331zm",5,0.663015741957403,9,0.5126622335775,1,0.468927298997742,0.0437349345797584
"KP740il",4,0.758547200880262,5,0.553840866606501,4,0.475086243126262,0.0787546234802393
"KS809gz",3,0.732774739567235,6,0.589828753763801,9,0.515416949392737,0.0744118043710637
"KW879mg",2,0.825223971377293,7,0.574626998674047,2,0.530450616083893,0.0441763825901547
