"PID","STATE","COUNTY","CAND_1","CAND_2","RACETYPE","PLACENAME","lebe_cont","vote_sweep","vote_sweep_all","vote_other","vote_inc_all","vote_t2","vote_sweep_t2","vote_sweep_all_t2","vote_other_t2","vote_inc_all_t2","cand1_change","cand2_change","cand1_rightwing","cand2_rightwing","cand1_cult","cand2_cult","cand1_econ","cand2_econ","vote_turnout","vote_who","ideo","party_gen","party_dem","party_rep","party_ind","party_followup","party_id","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","feedback"
"SS094in","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",60,1,1,0,0,"Zohran Mamdani",1,1,0,0,7,3,1.5,5,1,5,2,5,"Yes","Zohran Mamdani",5,"Republican",NA,"Not very strong",NA,"Republican | Not very strong","Rep",1,32,"man","White","MA","$120,001-$140,000",7,5,1,1,1,0,0,"no"
"SS699cv","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",30,1,1,0,0,NA,NA,NA,NA,NA,6,3,1.5,5,1,6,2,4,"Yes","Zohran Mamdani",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong","Dem",1,28,"man","Hispanic, Latino, or Spanish origin","GED","$60,001-$80,000",4,2,0,1,0,1,0,NA
"ST288bn","New Jersey","Bergen","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",81,0,0,0,1,NA,NA,0,1,0,1,4,7,1,7,1,7,1,"No","Mikie Sherill",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong","Dem",1,29,"woman","White","GED","$40,001-$60,000",3,2,1,0,0,1,0,NA
"ST918xb","New Jersey","Morris","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",58,0,0,0,1,"Mikie Sherill",0,0,0,1,3,2,6,3,6,3,6,3,"Yes","Mikie Sherill",4,"Independent",NA,NA,"Neither","Independent | Neither","Ind",1,28,"man","White","4yearColl","$80,001-$100,000",5,4,1,1,0,0,1,NA
"SV448du","New Jersey","Camden","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",21,0,0,0,1,"Mikie Sherill",0,0,0,1,1,2,6.5,2.5,7,2,6,3,"Yes","Mikie Sherill",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong","Dem",1,21,"man","multiracial","GED",NA,NA,2,0,1,0,1,0,NA
"SX692vo","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",59,NA,0,1,0,"No Vote",NA,0,1,0,4,4,4,4,4,4,4,4,"Not sure",NA,4,"No preference",NA,NA,"Neither","Independent | Neither","Ind",1,33,"woman","Black or African American","GED","$0-$20,000",1,2,0,0,0,0,0,NA
"SY443rs","New Jersey","Essex","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",67,0,0,0,1,NA,NA,NA,NA,NA,3,4,5.5,1.5,6,1,5,2,"Yes","Mikie Sherill",1,"No preference",NA,NA,"Closer to Democratic","Independent | Closer to Democratic","Dem",1,34,"man","Black or African American","MA","$160,001-$180,000",9,5,0,1,0,0,0,NA
"SY850rg","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",75,1,1,0,0,"Katie Wilson",1,1,0,0,1,2,4,3,3,2,5,4,"Yes","Katie Wilson",1,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic","Dem",1,20,"man","Hispanic, Latino, or Spanish origin","GED","Over $200,000",11,2,0,1,0,0,1,NA
"TC272ll","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",29,1,1,0,0,NA,NA,NA,NA,NA,2,5,1.5,5.5,1,5,2,6,"Yes","Zohran Mamdani",1,"Democrat","Strong",NA,NA,"Democrat | Strong","Dem",1,54,"woman","Black or African American","GED","$20,001-$40,000",2,2,0,0,0,1,0,NA
"TD449ms","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",31,1,1,0,0,"Zohran Mamdani",1,1,0,0,5,6,3,5.5,2,7,4,4,"Yes","Zohran Mamdani",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong","Dem",1,28,"woman","White","PHD","$80,001-$100,000",5,6,1,0,0,1,0,NA
