"PID","STATE","COUNTY","CAND_1","CAND_2","RACETYPE","PLACENAME","lebe_cont","vote_sweep","vote_sweep_all","vote_other","vote_inc_all","cand1_change","cand2_change","cand1_rightwing","cand2_rightwing","cand1_cult","cand2_cult","cand1_econ","cand2_econ","vote_turnout","vote_who","ideo","party_gen","party_dem","party_rep","party_ind","party_followup","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","feedback"
"BP787mm","New Jersey","Union","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",34,0,0,0,1,4,4,7,3,7,3,7,3,"Yes","Mikie Sherill",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,32,"man","White","4yearColl","Over $200,000",11,4,1,1,0,1,0,NA
"QX775lk","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",29,NA,0,1,0,4,4,4,4,4,4,4,4,"No","Curtis Sliwa",3,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,20,"man","White","GED","$40,001-$60,000",3,2,1,1,0,0,1,NA
"JA665wa","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",47,1,1,0,0,2,3,6,1.5,7,1,5,2,"Yes","Katie Wilson",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,43,"woman","White","4yearColl","Over $200,000",11,4,1,0,0,1,0,NA
"AT018hz","New Jersey","Bergen","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",73,0,0,0,1,4,2,6,2.5,6,3,6,2,"Yes","Mikie Sherill",4,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,27,"woman","Black or African American","4yearColl","$60,001-$80,000",4,4,0,0,0,0,1,NA
"YD759my","New Jersey","Cape May","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",30,NA,0,1,0,5,4,4,4,6,3,2,5,"Yes",NA,6,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,61,"woman","White","GED","$80,001-$100,000",5,2,1,0,0,0,1,NA
"CS910ft","New York","Richmond","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",100,NA,0,1,0,1,7,3.5,5.5,3,7,4,4,"Not sure","Curtis Sliwa",5,"Independent",NA,NA,"Neither","Independent | Neither",1,31,"woman","multiracial","GED","$0-$20,000",1,2,0,0,0,0,1,NA
"OX797ys","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",60,1,1,0,0,1,6,6,2.5,5,3,7,2,"Yes","Katie Wilson",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,30,"man","White","GED","$80,001-$100,000",5,2,1,1,0,1,0,"None at all, thank you! :)"
"AB639ib","New Jersey","Burlington","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",82,NA,0,1,0,1,1,4,4,4,4,4,4,"No",NA,3,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,43,"woman","White","GED","$40,001-$60,000",3,2,1,0,0,0,1,NA
"FS729iw","New York","Richmond","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",71,1,1,0,0,6,1,3,5,1,7,5,3,"Yes","Zohran Mamdani",3,"Democrat","Strong",NA,NA,"Democrat | Strong",1,28,"man","White","4yearColl","$100,001-$120,000",6,4,1,1,0,1,0,NA
"XI381eo","New Jersey","Hudson","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",80,NA,0,1,0,5,3,4.5,2.5,6,3,3,2,"Yes",NA,4,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,37,"man","Asian","MA","$120,001-$140,000",7,5,0,1,0,1,0,NA
