"PID","lebe_cont","cond","cond_bin","choice","choice_sweep","party_forgroup","ideo","party_gen","party_dem","party_rep","party_ind","party_followup","att_2","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","feedback"
"LV149eo",9,"inparty",1,"CANDIDATE B",1,"Democratic",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,29,"woman","White","GED","$60,001-$80,000",4,2,1,0,0,1,0,NA
"MH400do",39,"inparty",1,"CANDIDATE B",1,"Democratic",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,51,"woman","multiracial","4yearColl","$100,001-$120,000",6,4,0,0,0,1,0,"None"
"QF121zl",0,"outparty",0,"CANDIDATE A",0,"Democratic",4,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,57,"woman","White","4yearColl","$40,001-$60,000",3,4,1,0,0,1,0,NA
"NW197le",40,"inparty",1,"CANDIDATE B",1,"Democratic",5,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,75,"woman","White","noHS","$40,001-$60,000",3,1,1,0,0,1,0,NA
"UP943dx",50,"inparty",1,"CANDIDATE B",1,"Democratic",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,47,"man","multiracial","4yearColl","$180,001-$200,000",10,4,0,1,0,1,0,NA
"EO205ao",60,"inparty",1,"CANDIDATE A",0,"Republican",4,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,61,"man","White","4yearColl","$100,001-$120,000",6,4,1,1,1,0,0,NA
"FU276re",60,"outparty",0,"CANDIDATE A",0,"Republican",5,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,50,"man","White","GED","$60,001-$80,000",4,2,1,1,1,0,0,NA
"CZ829ex",70,"outparty",0,"CANDIDATE B",1,"Democratic",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,34,"man","White","PHD","$140,001-$160,000",8,6,1,1,0,1,0,NA
"TA975ee",76,"inparty",1,"CANDIDATE A",0,"Republican",6,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,45,"woman","White","GED","$60,001-$80,000",4,2,1,0,1,0,0,NA
"IF023aa",51,"outparty",0,"CANDIDATE B",1,"Republican",5,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,30,"man","White","4yearColl","$60,001-$80,000",4,4,1,1,1,0,0,NA
"JN709lo",80,"outparty",0,"CANDIDATE B",1,"Democratic",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,61,"woman","White","GED","$60,001-$80,000",4,2,1,0,0,1,0,NA
"YQ283xw",70,"outparty",0,"CANDIDATE A",0,"Democratic",5,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,39,"man","Black or African American","GED","$40,001-$60,000",3,2,0,1,0,1,0,NA
"PL734se",41,"outparty",0,"CANDIDATE A",0,"Democratic",4,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,35,"man","Asian","4yearColl","$140,001-$160,000",8,4,0,1,0,1,0,NA
"BR678uf",25,"inparty",1,"CANDIDATE A",0,"Republican",4,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,35,"man","White","2yearColl","$0-$20,000",1,3,1,1,0,0,1,NA
"HY725cx",14,"outparty",0,"CANDIDATE A",0,"Republican",4,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,25,"man","White","4yearColl","$120,001-$140,000",7,4,1,1,0,0,1,NA
"HH747lc",80,"inparty",1,"CANDIDATE A",0,"Democratic",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,46,"woman","White","MA","$20,001-$40,000",2,5,1,0,0,1,0,NA
"KL622wi",20,"inparty",1,"CANDIDATE A",0,"Republican",6,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,79,"man","White","4yearColl","$20,001-$40,000",2,4,1,1,1,0,0,NA
"TY762ek",74,"outparty",0,"CANDIDATE A",0,"Democratic",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,77,"man","White","PHD","$80,001-$100,000",5,6,1,1,0,1,0,"why ask about color??????"
"OJ205mw",52,"inparty",1,"CANDIDATE B",1,"Republican",5,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,41,"man","White","4yearColl","$160,001-$180,000",9,4,1,1,1,0,0,NA
"QI672he",65,"inparty",1,"CANDIDATE B",1,"Republican",2,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,21,"man","multiracial","GED","$80,001-$100,000",5,2,0,1,1,0,0,NA
"JU662kd",24,"inparty",1,"CANDIDATE B",1,"Democratic",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,23,"man","multiracial","GED","$140,001-$160,000",8,2,0,1,0,1,0,NA
"MW506pv",20,"outparty",0,"CANDIDATE A",0,"Democratic",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,41,"woman","White","GED","$140,001-$160,000",8,2,1,0,0,1,0,"n/a"
"IP919fx",20,"inparty",1,"CANDIDATE A",0,"Democratic",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,54,"man","White","2yearColl","$20,001-$40,000",2,3,1,1,0,1,0,NA
"EY323dw",70,"inparty",1,"CANDIDATE B",1,"Democratic",4,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,25,"man","White","GED","$20,001-$40,000",2,2,1,1,0,0,1,NA
"MG595cr",63,"outparty",0,"CANDIDATE A",0,"Democratic",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,36,"man","Hispanic, Latino, or Spanish origin","4yearColl","$100,001-$120,000",6,4,0,1,0,1,0,NA
"XY613qv",20,"outparty",0,"CANDIDATE B",1,"Democratic",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,48,"woman","White","4yearColl","$140,001-$160,000",8,4,1,0,0,1,0,NA
"NC157ds",23,"outparty",0,"CANDIDATE A",0,"Democratic",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,31,"woman","White","MA","Over $200,000",11,5,1,0,0,1,0,NA
"DI340ri",5,"outparty",0,"CANDIDATE B",1,"Republican",6,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,67,"woman","White","2yearColl","$100,001-$120,000",6,3,1,0,1,0,0,NA
"DK312wp",40,"outparty",0,"CANDIDATE B",1,"Republican",6,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,59,"woman","White","4yearColl","$0-$20,000",1,4,1,0,1,0,0,"n/a"
"MX495nx",20,"inparty",1,"CANDIDATE A",0,"Republican",4,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,72,"woman","White","2yearColl","$40,001-$60,000",3,3,1,0,0,0,1,NA
"QW628jp",79,"inparty",1,"CANDIDATE B",1,"Democratic",4,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,36,"man","Hispanic, Latino, or Spanish origin","GED","$20,001-$40,000",2,2,0,1,0,1,0,NA
