"PID","STATE","COUNTY","CAND_1","CAND_2","RACETYPE","PLACENAME","race_num","cand1_change","cand2_change","cand1_cult","cand2_cult","cand1_econ","cand2_econ","vote_turnout","vote_who","ideo","party_gen","party_dem","party_rep","party_ind","party_followup","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","feedback"
"IO716ct","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,1,6,3,1,4,4,"Yes","Jacob Frey",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,68,"woman","White","4yearColl","$140,001-$160,000",8,4,1,0,0,1,0,NA
"ZZ663lm","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,1,7,7,1,6,1,"Not sure","Omar Fateh",1,"Independent",NA,NA,"Neither","Independent | Neither",1,25,"woman","White","MA","$60,001-$80,000",4,5,1,0,0,0,1,NA
"BZ322st","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,4,5,4,2,3,4,"Not sure","Katie Wilson",4,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,38,"woman","Asian","4yearColl","$20,001-$40,000",2,4,0,0,0,1,0,NA
"SR095uh","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,3,6,5,1,3,5,"Yes","Bruce Harrell",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,36,"woman","White","MA","$100,001-$120,000",6,5,1,0,0,1,0,NA
"DU054ay","Minnesota","Anoka","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,4,4,3,2,4,2,"No","Jacob Frey",3,"Democrat","Strong",NA,NA,"Democrat | Strong",1,30,"man","White","4yearColl","$180,001-$200,000",10,4,1,1,0,1,0,NA
"KR481gj","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,1,1,5,3,4,3,"Yes","Katie Wilson",1,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,20,"man","Hispanic, Latino, or Spanish origin","GED","Over $200,000",11,2,0,1,0,0,1,NA
"LW418hu","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,4,4,2,1,4,1,"Not sure","Jacob Frey",3,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,22,"man","White","GED","$0-$20,000",1,2,1,1,0,0,1,NA
"WM127ux","Ohio","Cuyahoga","Justin Bibb","Laverne Gore","Mayoral","Cleveland",6,5,3,1,7,2,6,"Yes","Justin Bibb",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,35,NA,"Black or African American","2yearColl","$80,001-$100,000",5,3,0,NA,0,1,0,NA
"DT659pb","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,4,3,3,1,3,3,"Yes","Bruce Harrell",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,51,"man","White","MA","$160,001-$180,000",9,5,1,1,0,1,0,NA
"SB144zk","Ohio","Cuyahoga","Justin Bibb","Laverne Gore","Mayoral","Cleveland",6,6,4,1,5,1,6,"Not sure","Laverne Gore",5,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,50,"man","White","4yearColl","$20,001-$40,000",2,4,1,1,1,0,0,NA
"BH576bb","Ohio","Cuyahoga","Justin Bibb","Laverne Gore","Mayoral","Cleveland",6,7,4,1,7,3,5,"No","Laverne Gore",4,"Independent",NA,NA,"Neither","Independent | Neither",1,36,"woman","White","GED","$100,001-$120,000",6,2,1,0,0,0,1,NA
"HM879ki","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,3,4,4,4,4,4,"Yes",NA,1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,36,"woman","White","2yearColl","$180,001-$200,000",10,3,1,0,0,1,0,NA
"NP260bj","Ohio","Cuyahoga","Justin Bibb","Laverne Gore","Mayoral","Cleveland",6,4,7,1,5,7,1,"Yes","Laverne Gore",6,"Republican",NA,"Strong",NA,"Republican | Strong",1,36,"woman","White","4yearColl","$40,001-$60,000",3,4,1,0,1,0,0,NA
"HF825yc","Ohio","Cuyahoga","Justin Bibb","Laverne Gore","Mayoral","Cleveland",6,3,4,1,4,3,4,"Yes",NA,4,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,35,"woman","White","4yearColl","$160,001-$180,000",9,4,1,0,1,0,0,NA
"VK247xt","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,3,4,3,2,5,2,"Yes","Jacob Frey",3,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,32,"man","White","4yearColl","$100,001-$120,000",6,4,1,1,0,0,1,NA
"NU949db","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,7,7,7,1,7,1,"Yes","Jacob Frey",6,"Republican",NA,"Strong",NA,"Republican | Strong",1,54,"woman","White","2yearColl","Over $200,000",11,3,1,0,1,0,0,NA
"XO923wd","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,2,3,3,2,5,4,"Yes","Katie Wilson",1,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,33,NA,"multiracial","MA","$100,001-$120,000",6,5,0,NA,0,0,1,NA
"IZ097ei","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,3,5,1,1,1,1,"Not sure","Bruce Harrell",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,36,"woman","American Indian or Alaska Native","GED","$20,001-$40,000",2,2,0,0,0,1,0,NA
"OY489zb","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,5,6,3,2,3,1,"No",NA,1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,39,"woman","White","MA","$60,001-$80,000",4,5,1,0,0,1,0,NA
"CB085ei","Ohio","Stark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SZ090ex","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,3,7,3,1,3,1,"Yes","Jacob Frey",5,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,20,"man","White","GED","$120,001-$140,000",7,2,1,1,0,0,1,NA
"DS022xi","Ohio","Cuyahoga","Justin Bibb","Laverne Gore","Mayoral","Cleveland",6,2,5,3,6,2,7,"Yes","Justin Bibb",1,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,30,"woman","Black or African American","GED","$40,001-$60,000",3,2,0,0,0,1,0,NA
"JQ066aj","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,4,3,6,5,2,4,"No","Bruce Harrell",3,"Democrat","Strong",NA,NA,"Democrat | Strong",1,30,"man","Asian","MA","$60,001-$80,000",4,5,0,1,0,1,0,NA
"TT360rw","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,4,5,2,1,4,5,"No","Omar Fateh",4,"Independent",NA,NA,"Neither","Independent | Neither",1,29,"man","White","4yearColl","$40,001-$60,000",3,4,1,1,0,0,1,NA
"VL879ed","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,1,5,4,1,4,2,"No","Omar Fateh",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,32,"man","White","4yearColl","Over $200,000",11,4,1,1,0,1,0,NA
"MH606fz","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,2,5,4,2,3,3,"Yes","Omar Fateh",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,60,"man","White","GED","$20,001-$40,000",2,2,1,1,0,1,0,"None"
"QE657jy","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,4,2,2,4,2,5,"Yes","Jacob Frey",1,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,38,"woman","White","2yearColl","$40,001-$60,000",3,3,1,0,0,1,0,"No comments"
"AB618la","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,1,5,6,1,7,1,"Yes","Katie Wilson",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,43,"man","White","GED","$0-$20,000",1,2,1,1,0,1,0,NA
"KM692yl","Ohio","Cuyahoga","Justin Bibb","Laverne Gore","Mayoral","Cleveland",6,4,2,2,6,3,6,"No","Justin Bibb",3,"Democrat","Strong",NA,NA,"Democrat | Strong",1,58,"woman","White","4yearColl","$20,001-$40,000",2,4,1,0,0,1,0,NA
"RK079jb","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,1,5,5,2,5,2,"Yes","Omar Fateh",1,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,31,"man","White","2yearColl","$80,001-$100,000",5,3,1,1,0,1,0,NA
"OF832nr","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,3,5,3,1,2,4,"Yes","Bruce Harrell",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,60,"woman","Black or African American","2yearColl","$20,001-$40,000",2,3,0,0,0,1,0,NA
"AX438bs","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,3,5,5,1,4,5,"Yes","Omar Fateh",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,28,"woman","Asian","4yearColl","$100,001-$120,000",6,4,0,0,0,1,0,NA
"EK629dr","Ohio","Cuyahoga","Justin Bibb","Laverne Gore","Mayoral","Cleveland",6,7,4,1,7,4,3,"No","Justin Bibb",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,22,"woman","Black or African American","4yearColl","$60,001-$80,000",4,4,0,0,0,1,0,"N/A."
"QU440vr","Ohio","Cuyahoga","Justin Bibb","Laverne Gore","Mayoral","Cleveland",6,3,5,3,5,6,2,"Not sure","Laverne Gore",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,29,"man","White","MA","$0-$20,000",1,5,1,1,0,1,0,NA
"PD549mp","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,3,5,3,2,2,2,"Not sure",NA,2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,31,"man","White","PHD","$160,001-$180,000",9,6,1,1,0,1,0,NA
"DA652tz","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,5,6,6,3,6,2,"No","Bruce Harrell",2,"Independent",NA,NA,"Neither","Independent | Neither",1,44,"man","multiracial","MA","$40,001-$60,000",3,5,0,1,0,0,1,NA
"RK722xt","Ohio","Cuyahoga","Justin Bibb","Laverne Gore","Mayoral","Cleveland",6,1,5,2,6,4,6,"No","Justin Bibb",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,21,"woman","White","GED","Over $200,000",11,2,1,0,0,1,0,NA
"XP213cj","Virginia","Louisa","Winsome Earle-Sears","Abigail Spanberger","Gubernatorial","Virginia",2,2,2,7,2,4,3,"Yes","Abigail Spanberger",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,67,"woman","White","MA","$40,001-$60,000",3,5,1,0,0,1,0,"none"
"XX658su","Virginia","Arlington","Winsome Earle-Sears","Abigail Spanberger","Gubernatorial","Virginia",2,2,6,7,2,3,6,"Yes","Winsome Earle-Sears",5,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,38,"man","Middle Eastern or North African","4yearColl","$60,001-$80,000",4,4,0,1,1,0,0,NA
"IH038ur","New Jersey","Morris","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,3,6,6,2,3,5,"Yes","Mikie Sherill",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,24,"man","Asian","2yearColl","$20,001-$40,000",2,3,0,1,0,1,0,NA
"FN506qm","New Jersey","Camden","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,4,2,6,2,7,3,"Yes","Mikie Sherill",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,43,"woman","White","4yearColl","$140,001-$160,000",8,4,1,0,0,1,0,"no comments"
"LM620ks","New Jersey","Monmouth","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,7,1,7,2,7,4,"Yes","Mikie Sherill",1,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,31,"man","White","2yearColl","$40,001-$60,000",3,3,1,1,0,0,1,NA
"KY373wn","Virginia","Richmond","Winsome Earle-Sears","Abigail Spanberger","Gubernatorial","Virginia",2,5,3,7,3,7,3,"Yes","Abigail Spanberger",4,"No preference",NA,NA,"Neither","Independent | Neither",1,39,"woman","White","4yearColl","$80,001-$100,000",5,4,1,0,0,0,0,NA
"CO671yf","Florida","Duval",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TU572bg","New Jersey","Middlesex","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,5,3,6,1,6,1,"Yes","Jack Ciattarelli",5,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,48,"man","White","GED","$140,001-$160,000",8,2,1,1,1,0,0,NA
"DT695nt","New Jersey","Morris","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,5,3,7,3,2,4,"Yes",NA,4,"No preference",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,27,"man","White","2yearColl","$80,001-$100,000",5,3,1,1,0,0,0,NA
"NP680sr","New Jersey","Essex","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,1,5,7,1,7,4,"Yes","Mikie Sherill",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,39,"man","Black or African American","4yearColl","$40,001-$60,000",3,4,0,1,0,1,0,NA
"YG934gk","Virginia","Louisa","Winsome Earle-Sears","Abigail Spanberger","Gubernatorial","Virginia",2,7,4,7,1,7,1,"Yes","Abigail Spanberger",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,41,"woman","White","GED","$40,001-$60,000",3,2,1,0,0,1,0,"Enjoyed the study, Thanks!"
"JO810ze","New Jersey","Camden","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,4,2,4,6,3,5,"Not sure","Mikie Sherill",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,29,"woman","Black or African American","GED","$60,001-$80,000",4,2,0,0,0,1,0,NA
"MY161bv","New Jersey","Mercer","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,6,5,6,2,5,3,"No",NA,5,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,29,"man","Asian","4yearColl","$120,001-$140,000",7,4,0,1,1,0,0,NA
"GV670hd","New Jersey","Middlesex","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,4,4,3,4,4,4,"Not sure",NA,3,"Independent",NA,NA,"Neither","Independent | Neither",1,28,"man","Asian","4yearColl","$0-$20,000",1,4,0,1,0,0,1,NA
"HP932zf","Virginia","Virginia Beach","Winsome Earle-Sears","Abigail Spanberger","Gubernatorial","Virginia",2,7,4,7,1,7,1,"Yes","Abigail Spanberger",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,53,"woman","Black or African American","MA","$80,001-$100,000",5,5,0,0,0,1,0,NA
"MO748iw","New Jersey","Ocean","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,7,4,7,1,7,2,"Yes","Mikie Sherill",2,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,41,"man","White","4yearColl","$40,001-$60,000",3,4,1,1,0,0,1,"I think it’s completely incorrect to describe either of their positions as “free market”, especially in this new era when prices are not based on supply and demand and there is no competition between businesses. Instead I would describe Jack Ciattarelli, and most candidates as sucking the cock of the rich, or bending over for the rich."
"BT640iv","New Jersey","Atlantic","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,4,3,5,1,2,6,"Yes","Jack Ciattarelli",6,"Republican",NA,"Strong",NA,"Republican | Strong",1,64,"woman","White","4yearColl","$40,001-$60,000",3,4,1,0,1,0,0,NA
"WW404of","Virginia","Fairfax","Winsome Earle-Sears","Abigail Spanberger","Gubernatorial","Virginia",2,4,5,6,2,4,4,"No","Abigail Spanberger",4,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,41,"man","Asian","4yearColl","Over $200,000",11,4,0,1,0,0,1,NA
"ST892zs","New Jersey","Burlington","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,6,6,7,2,7,3,"Yes","Mikie Sherill",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,74,"woman","White","MA","$100,001-$120,000",6,5,1,0,0,1,0,NA
"SW424ns","New Jersey","Essex","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,2,4,6,3,5,5,"Yes","Jack Ciattarelli",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,30,"man","White","MA","$100,001-$120,000",6,5,1,1,0,1,0,NA
"ZD672fl","New Jersey","Bergen","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,5,3,5,3,4,4,"No",NA,4,"Independent",NA,NA,"Neither","Independent | Neither",1,31,"man","Asian","4yearColl","$80,001-$100,000",5,4,0,1,0,0,1,NA
"TJ264dh","Virginia","Bedford","Winsome Earle-Sears","Abigail Spanberger","Gubernatorial","Virginia",2,5,7,6,1,7,1,"Yes",NA,6,"Republican",NA,"Strong",NA,"Republican | Strong",1,54,"woman","White","GED","$20,001-$40,000",2,2,1,0,1,0,0,NA
"LM460rs","New Jersey","Monmouth","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,4,7,5,1,7,1,"Yes","Jack Ciattarelli",6,"Independent",NA,NA,"Neither","Independent | Neither",1,39,"man","White","4yearColl","$140,001-$160,000",8,4,1,1,0,0,1,NA
"AP483dr","Virginia","Smyth","Winsome Earle-Sears","Abigail Spanberger","Gubernatorial","Virginia",2,4,5,7,1,6,2,"Yes","Winsome Earle-Sears",6,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,64,"woman","White","2yearColl","$20,001-$40,000",2,3,1,0,1,0,0,NA
"EE788dg","New Jersey","Ocean","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,5,7,7,1,7,1,"Yes","Mikie Sherill",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,75,"woman","White","MA","$20,001-$40,000",2,5,1,0,0,1,0,"Jack is a virulent , Trump supporter and I pray that he does not win. Mikie cares about her constituents."
"WB441cu","North Carolina","Camden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KG782fz","New Jersey","Sussex","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,5,3,3,5,6,4,"Not sure",NA,5,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,58,"woman","White","4yearColl",NA,NA,4,1,0,0,0,1,NA
"LV628dq","Virginia","Rockingham","Winsome Earle-Sears","Abigail Spanberger","Gubernatorial","Virginia",2,6,2,7,1,6,4,"Yes","Abigail Spanberger",4,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,57,"man","White","2yearColl","$140,001-$160,000",8,3,1,1,0,0,1,NA
"QR095lz","Maryland","Montgomery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LQ418da","Virginia","Suffolk","Winsome Earle-Sears","Abigail Spanberger","Gubernatorial","Virginia",2,4,5,6,1,6,1,"Yes","Winsome Earle-Sears",5,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,41,"woman","White","GED","$120,001-$140,000",7,2,1,0,1,0,0,NA
"OF928ui","Virginia","Prince George","Winsome Earle-Sears","Abigail Spanberger","Gubernatorial","Virginia",2,5,2,6,2,7,1,"Yes","Abigail Spanberger",4,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,34,"woman","White","4yearColl","$40,001-$60,000",3,4,1,0,0,1,0,NA
"KU096qj","Virginia","Isle of Wight","Winsome Earle-Sears","Abigail Spanberger","Gubernatorial","Virginia",2,7,5,7,1,7,4,"Not sure","Abigail Spanberger",3,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,29,"woman","White","noHS","$60,001-$80,000",4,1,1,0,0,0,1,NA
"NM439mr","New Jersey","Camden","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,3,3,5,4,6,4,"Not sure",NA,4,"Independent",NA,NA,"Neither","Independent | Neither",1,25,"woman","White","4yearColl","$0-$20,000",1,4,1,0,0,0,1,NA
"TO600tf","New Jersey","Monmouth","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,6,5,7,1,7,1,"Yes","Mikie Sherill",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,28,"man","White","4yearColl","$80,001-$100,000",5,4,1,1,0,1,0,NA
"ZR055ym","New Jersey","Mercer","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,5,4,7,5,7,3,"Yes","Mikie Sherill",3,"Democrat","Strong",NA,NA,"Democrat | Strong",1,66,"man","White","GED","$40,001-$60,000",3,2,1,1,0,1,0,NA
"RA230lr","Virginia","Chesapeake","Winsome Earle-Sears","Abigail Spanberger","Gubernatorial","Virginia",2,3,5,7,1,7,1,"Yes","Abigail Spanberger",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,34,"woman","White","GED","$40,001-$60,000",3,2,1,0,0,1,0,NA
"PF642rg","Virginia",NA,"Winsome Earle-Sears","Abigail Spanberger","Gubernatorial","Virginia",2,4,4,7,1,4,7,"Yes","Winsome Earle-Sears",7,"Republican",NA,"Strong",NA,"Republican | Strong",1,36,"woman","White","MA","$0-$20,000",1,5,1,0,1,0,0,NA
"AM491of","Virginia","Stafford","Winsome Earle-Sears","Abigail Spanberger","Gubernatorial","Virginia",2,4,4,6,2,4,4,"Yes","Abigail Spanberger",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,42,"man","multiracial","2yearColl","$120,001-$140,000",7,3,0,1,0,1,0,NA
"TZ426yh","New Jersey","Morris","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,2,2,4,4,4,5,"Not sure",NA,4,"Independent",NA,NA,"Neither","Independent | Neither",1,45,"man","White","4yearColl","Over $200,000",11,4,1,1,0,0,1,NA
"NZ298qr","Virginia","Loudoun","Winsome Earle-Sears","Abigail Spanberger","Gubernatorial","Virginia",2,2,4,7,1,5,3,"Yes","Abigail Spanberger",4,"Independent",NA,NA,"Neither","Independent | Neither",1,48,"man","White","MA","Over $200,000",11,5,1,1,0,0,1,NA
"LA347ro","Virginia","Virginia Beach","Winsome Earle-Sears","Abigail Spanberger","Gubernatorial","Virginia",2,4,4,7,1,3,5,"Yes","Abigail Spanberger",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,47,"man","Black or African American","MA","$20,001-$40,000",2,5,0,1,0,1,0,NA
"QI743bn","Virginia","Chesapeake","Winsome Earle-Sears","Abigail Spanberger","Gubernatorial","Virginia",2,7,2,7,2,7,2,"Yes","Abigail Spanberger",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,49,"woman","White","GED","$60,001-$80,000",4,2,1,0,0,1,0,"None"
"DU697iw","Virginia","Virginia Beach","Winsome Earle-Sears","Abigail Spanberger","Gubernatorial","Virginia",2,4,6,4,6,5,3,"Yes","Winsome Earle-Sears",5,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,51,"man","White","GED","$40,001-$60,000",3,2,1,1,1,0,0,"Thank you."
"EM619wr","Virginia","Chesapeake","Winsome Earle-Sears","Abigail Spanberger","Gubernatorial","Virginia",2,4,4,3,3,4,4,"Not sure","Winsome Earle-Sears",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,44,"man","Black or African American","4yearColl","$100,001-$120,000",6,4,0,1,0,1,0,"N/A"
"DO084ak","New Jersey","Middlesex","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,4,4,6,2,4,4,"No","Mikie Sherill",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,42,"woman","White","GED","$40,001-$60,000",3,2,1,0,0,1,0,NA
"MX854ur","New Jersey","Mercer","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,4,6,6,2,6,4,"Not sure",NA,5,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,50,"man","Black or African American","4yearColl","$60,001-$80,000",4,4,0,1,0,0,1,"My Prolific ID - 560379c9e372c00011bd4a90"
"JH440rl","Virginia","Washington","Winsome Earle-Sears","Abigail Spanberger","Gubernatorial","Virginia",2,4,4,4,5,4,5,"No","Abigail Spanberger",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,41,"woman","White","GED","$20,001-$40,000",2,2,1,0,0,1,0,NA
"AP446qe","Virginia","Chesterfield","Winsome Earle-Sears","Abigail Spanberger","Gubernatorial","Virginia",2,2,5,5,5,3,5,"Yes","Abigail Spanberger",6,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,43,"woman","Black or African American","GED","$80,001-$100,000",5,2,0,0,0,1,0,NA
"HO428qh","New Jersey","Middlesex","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,4,6,6,1,7,1,"Yes","Jack Ciattarelli",5,"Republican",NA,"Strong",NA,"Republican | Strong",1,42,"woman","White","MA","$140,001-$160,000",8,5,1,0,1,0,0,NA
"LK395eb","Virginia","Virginia Beach","Winsome Earle-Sears","Abigail Spanberger","Gubernatorial","Virginia",2,4,5,6,3,6,3,"Yes","Abigail Spanberger",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,31,NA,"White","noHS","$0-$20,000",1,1,1,NA,0,1,0,NA
"KR892jo","Virginia","Clarke","Winsome Earle-Sears","Abigail Spanberger","Gubernatorial","Virginia",2,4,7,7,1,7,1,"Yes","Winsome Earle-Sears",7,"Republican",NA,"Strong",NA,"Republican | Strong",1,35,"woman","White","4yearColl","$120,001-$140,000",7,4,1,0,1,0,0,NA
"SP710ek","Connecticut","Litchfield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VH239nn","New Jersey","Warren","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,4,1,7,1,7,1,"No",NA,4,"Independent",NA,NA,"Neither","Independent | Neither",1,53,"woman","Asian","4yearColl","$80,001-$100,000",5,4,0,0,0,0,1,NA
"GG215xm","New Jersey","Morris","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",1,6,3,7,1,7,1,"Yes","Jack Ciattarelli",6,"Republican",NA,"Strong",NA,"Republican | Strong",1,35,"man","White","4yearColl","$160,001-$180,000",9,4,1,1,1,0,0,"no comments thank you"
"EK674xz","Virginia","Virginia Beach","Winsome Earle-Sears","Abigail Spanberger","Gubernatorial","Virginia",2,7,1,7,1,4,4,"Yes","Abigail Spanberger",4,"Democrat","Strong",NA,NA,"Democrat | Strong",1,47,"woman","multiracial","MA","$100,001-$120,000",6,5,0,0,0,1,0,NA
