"id","n_reasons","mrl","assigned_cluster","avg_cosine_to_assigned","second_best_cluster","second_best_avg_cosine","margin"
"FO336bx",3,0.743060489991536,8,0.597605241419671,5,0.559329698950549,0.0382755424691223
"FO413bz",1,1,6,0.770279898934409,2,0.457652848126628,0.312627050807781
"FP659ra",3,0.768366749204224,8,0.559142041423397,7,0.49254725943795,0.0665947819854464
"FQ207do",5,0.639912664105757,8,0.504877713032426,2,0.459213118828207,0.0456645942042195
"FQ902pf",3,0.750765681305161,7,0.621752435849429,4,0.551685264387513,0.0700671714619157
"FT808qe",6,0.629744230601743,7,0.486001556593344,4,0.45425875320708,0.031742803386264
"FU549as",7,0.584204694441648,8,0.456547849910297,5,0.442174307225684,0.0143735426846133
"FU744fv",5,0.657534357898791,10,0.504831230531302,8,0.451572626859033,0.0532586036722685
"FU860qi",3,0.675311376593322,7,0.438247506196045,3,0.431767251271574,0.00648025492447085
"FU961uc",1,0.999999999999999,8,0.714816173117797,3,0.575554204105248,0.139261969012549
"FV183bb",2,0.820128707694475,7,0.58338447279182,3,0.573731180102656,0.00965329268916382
"FV686ds",1,1,9,0.596476588101538,7,0.498641387694478,0.0978352004070601
"FW773cm",5,0.638189889011394,7,0.506355052429199,9,0.455396700264566,0.0509583521646327
"FW949al",5,0.717425729880376,2,0.579824080559824,3,0.52191848797023,0.0579055925895942
"GA352bk",4,0.665735170105086,6,0.523029399904273,2,0.450584241833925,0.0724451580703482
"GB597mp",1,1,8,0.426929951062837,5,0.376023253731136,0.0509066973317007
"GC048sx",7,0.618740556963857,3,0.507252348768227,7,0.49054449584389,0.0167078529243374
"GC867fi",5,0.641951404323474,10,0.485175436982876,1,0.449673601397447,0.0355018355854293
"GD783vk",3,0.72808383590202,2,0.555410302584826,1,0.527110946002407,0.0282993565824192
"GF097ws",6,0.696622981482962,4,0.59043802695455,7,0.538644985180981,0.051793041773569
"GF177zs",4,0.707531037445937,8,0.556263422250249,2,0.498487088502309,0.0577763337479401
"GG601sy",4,0.688352265026444,8,0.53768275251723,2,0.445540818229287,0.0921419342879425
"GI916ie",3,0.778858403167298,9,0.558871026447247,2,0.545315743435591,0.0135552830116554
"GJ204hx",4,0.693384235941517,7,0.537992214300432,5,0.440255917287977,0.0977362970124555
"GK831qg",3,0.719984623101476,7,0.499608519848436,10,0.494388874421453,0.00521964542698333
"GK929vy",5,0.669303820084024,1,0.536320571894465,3,0.448385618223148,0.0879349536713162
"GN186kv",5,0.652363966031662,3,0.528927831506055,8,0.483561237730897,0.0453665937751584
"GN277uy",3,0.727492441988998,8,0.533442273895964,5,0.522442432467398,0.0109998414285657
"GN948we",5,0.632760123999699,1,0.494895229171861,2,0.473270578586536,0.0216246505853256
"GO178oz",3,0.75899903763861,2,0.559213832057422,8,0.394079289582864,0.165134542474558
"GQ533ee",5,0.671277477831862,9,0.50130304695964,7,0.484339592889505,0.0169634540701343
"GR242ti",3,0.716082208306634,7,0.523764362864003,8,0.485666002000053,0.0380983608639501
"GS216kw",4,0.771303178771764,4,0.678071963070268,9,0.545924060108333,0.132147902961935
"GV609ch",3,0.722789228977596,4,0.568613176953571,7,0.548009290988267,0.0206038859653037
"GW484yw",3,0.74522059884856,5,0.534975392389217,8,0.526065214629226,0.00891017775999092
"GW793po",5,0.682972677425887,7,0.556304062484004,5,0.43789402094608,0.118410041537924
"GY421wr",4,0.667588998760256,9,0.482619965174677,2,0.455304329761126,0.0273156354135509
"HB462ib",5,0.691231980493565,5,0.497878610794982,8,0.479963113837183,0.017915496957799
"HD334ua",6,0.654218374109228,8,0.536541286890455,5,0.524018393177642,0.0125228937128135
"HD873lf",2,0.773057650578609,2,0.436772496498955,8,0.406049644635037,0.0307228518639187
"HF130ga",5,0.683956896172554,7,0.604950622446175,4,0.497599044855421,0.107351577590754
"HH268tt",4,0.701471824705226,2,0.504988333298562,10,0.474532099555889,0.0304562337426726
"HI148ej",3,0.705363830436103,6,0.506029585887465,2,0.425437626105106,0.0805919597823587
"HI410gn",4,0.805662186367112,4,0.691207527242514,7,0.601932330136388,0.0892751971061254
"HM710eb",5,0.693009136130305,9,0.525599247514183,6,0.471690607154347,0.0539086403598368
"HN026zu",5,0.638344684262263,4,0.503214196683661,9,0.482839457406811,0.0203747392768504
"HN052gu",4,0.685658216134038,2,0.517649424740049,3,0.503336739323724,0.0143126854163255
"HN250md",6,0.613490530839905,2,0.47201605514423,9,0.45457702594628,0.0174390291979507
"HN893oh",3,0.759299982151708,7,0.629203345550707,4,0.528043892318096,0.101159453232611
"HT124bs",4,0.689440192131992,5,0.54097203068916,7,0.466453959873636,0.0745180708155247
"HT225gb",6,0.643671327742883,2,0.515982998868279,3,0.486567697958997,0.0294153009092813
"HT432pd",3,0.821930156285213,5,0.610752191158934,8,0.390242730806601,0.220509460352334
"HU141ms",5,0.674014183798075,8,0.537186879353919,5,0.502113362044773,0.0350735173091462
"HV038lh",4,0.698638589517677,7,0.532346703932101,9,0.49336432210336,0.0389823818287406
"HX525bi",7,0.631371443290325,6,0.518579193977514,2,0.431452973960266,0.0871262200172484
"HX537ib",5,0.730633752723529,4,0.65386653506442,9,0.496792471467663,0.157074063596757
"HY211wz",3,0.801062448385711,4,0.69157715661331,9,0.535925975916587,0.155651180696723
"IF261zg",3,0.693782129101405,7,0.535704837642495,2,0.433573832976035,0.10213100466646
"IL005wa",7,0.677676065675789,7,0.491281754348292,9,0.347875414885447,0.143406339462845
"IL024vd",5,0.687433135984178,8,0.50423035428795,5,0.501193723499044,0.00303663078890615
